variable_code,Granular Category,Broad Category
H12_001N,Total Households,Total_Households
P1_001N,Total Population,Total_Population
H3_002N,Total Housing Units: Occupied,Housing_Units_Occupied
H1_001N,Total Housing Units,Housing_Units_Total
H3_003N,Total Housing Units: Vacant,Housing_Units_Vacant
