,GEO_ID,value,MarginOfError,state,county,tract,variable_code,variable_name,variable_category,year_sample
51,1400000US06017031800,109,74,06,017,031800,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
52,1400000US06017031900,0,13,06,017,031900,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
53,1400000US06017032001,29,27,06,017,032001,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
54,1400000US06017032002,0,13,06,017,032002,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
55,1400000US06017990000,0,13,06,017,990000,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
1,1400000US06061020104,0,13,06,061,020104,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
2,1400000US06061020105,69,49,06,061,020105,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
3,1400000US06061020106,55,58,06,061,020106,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
4,1400000US06061020107,107,84,06,061,020107,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
5,1400000US06061020200,258,130,06,061,020200,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
6,1400000US06061020300,39,47,06,061,020300,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
7,1400000US06061020401,117,86,06,061,020401,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
8,1400000US06061020402,93,57,06,061,020402,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
9,1400000US06061020501,52,32,06,061,020501,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
10,1400000US06061020502,61,47,06,061,020502,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
11,1400000US06061020601,215,104,06,061,020601,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
12,1400000US06061020604,187,95,06,061,020604,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
13,1400000US06061020605,142,66,06,061,020605,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
