GEO_ID,value,state,MarginOfError,county,sample_level,Geo_Name,variable_code,variable_name,variable_category,year_sample,dataset,census_geom_year,TRPAID
32031,7180,32,,031,County,Washoe County,P012010,Male: 22 to 24 years,Age,2000,dec/sf1,2000,320312000
32510,997,32,,510,County,Carson City County,P012010,Male: 22 to 24 years,Age,2000,dec/sf1,2000,325102000
06000,739446,06,,000,State,CA,P012010,Male: 22 to 24 years,Age,2000,dec/sf1,2000,060002000
32000,41625,32,,000,State,NV,P012010,Male: 22 to 24 years,Age,2000,dec/sf1,2000,320002000
06017,3569,06,,017,County,El Dorado County,P012011,Male: 25 to 29 years,Age,2000,dec/sf1,2000,060172000
06061,6264,06,,061,County,Placer County,P012011,Male: 25 to 29 years,Age,2000,dec/sf1,2000,060612000
32005,876,32,,005,County,Douglas County,P012011,Male: 25 to 29 years,Age,2000,dec/sf1,2000,320052000
32031,12388,32,,031,County,Washoe County,P012011,Male: 25 to 29 years,Age,2000,dec/sf1,2000,320312000
32510,1817,32,,510,County,Carson City County,P012011,Male: 25 to 29 years,Age,2000,dec/sf1,2000,325102000
06000,1311445,06,,000,State,CA,P012011,Male: 25 to 29 years,Age,2000,dec/sf1,2000,060002000
32000,77234,32,,000,State,NV,P012011,Male: 25 to 29 years,Age,2000,dec/sf1,2000,320002000
06017,4285,06,,017,County,El Dorado County,P012012,Male: 30 to 34 years,Age,2000,dec/sf1,2000,060172000
06061,8071,06,,061,County,Placer County,P012012,Male: 30 to 34 years,Age,2000,dec/sf1,2000,060612000
32005,1075,32,,005,County,Douglas County,P012012,Male: 30 to 34 years,Age,2000,dec/sf1,2000,320052000
32031,13208,32,,031,County,Washoe County,P012012,Male: 30 to 34 years,Age,2000,dec/sf1,2000,320312000
32510,2028,32,,510,County,Carson City County,P012012,Male: 30 to 34 years,Age,2000,dec/sf1,2000,325102000
06000,1382355,06,,000,State,CA,P012012,Male: 30 to 34 years,Age,2000,dec/sf1,2000,060002000
32000,83053,32,,000,State,NV,P012012,Male: 30 to 34 years,Age,2000,dec/sf1,2000,320002000
06017,6082,06,,017,County,El Dorado County,P012013,Male: 35 to 39 years,Age,2000,dec/sf1,2000,060172000
06061,10215,06,,061,County,Placer County,P012013,Male: 35 to 39 years,Age,2000,dec/sf1,2000,060612000
32005,1567,32,,005,County,Douglas County,P012013,Male: 35 to 39 years,Age,2000,dec/sf1,2000,320052000
32031,14328,32,,031,County,Washoe County,P012013,Male: 35 to 39 years,Age,2000,dec/sf1,2000,320312000
32510,2340,32,,510,County,Carson City County,P012013,Male: 35 to 39 years,Age,2000,dec/sf1,2000,325102000
06000,1430293,06,,000,State,CA,P012013,Male: 35 to 39 years,Age,2000,dec/sf1,2000,060002000
32000,87034,32,,000,State,NV,P012013,Male: 35 to 39 years,Age,2000,dec/sf1,2000,320002000
06017,7260,06,,017,County,El Dorado County,P012014,Male: 40 to 44 years,Age,2000,dec/sf1,2000,060172000
06061,10566,06,,061,County,Placer County,P012014,Male: 40 to 44 years,Age,2000,dec/sf1,2000,060612000
32005,1810,32,,005,County,Douglas County,P012014,Male: 40 to 44 years,Age,2000,dec/sf1,2000,320052000
32031,14296,32,,031,County,Washoe County,P012014,Male: 40 to 44 years,Age,2000,dec/sf1,2000,320312000
32510,2308,32,,510,County,Carson City County,P012014,Male: 40 to 44 years,Age,2000,dec/sf1,2000,325102000
06000,1342201,06,,000,State,CA,P012014,Male: 40 to 44 years,Age,2000,dec/sf1,2000,060002000
32000,80672,32,,000,State,NV,P012014,Male: 40 to 44 years,Age,2000,dec/sf1,2000,320002000
06017,7237,06,,017,County,El Dorado County,P012015,Male: 45 to 49 years,Age,2000,dec/sf1,2000,060172000
06061,9911,06,,061,County,Placer County,P012015,Male: 45 to 49 years,Age,2000,dec/sf1,2000,060612000
32005,1817,32,,005,County,Douglas County,P012015,Male: 45 to 49 years,Age,2000,dec/sf1,2000,320052000
32031,13233,32,,031,County,Washoe County,P012015,Male: 45 to 49 years,Age,2000,dec/sf1,2000,320312000
32510,2096,32,,510,County,Carson City County,P012015,Male: 45 to 49 years,Age,2000,dec/sf1,2000,325102000
06000,1152957,06,,000,State,CA,P012015,Male: 45 to 49 years,Age,2000,dec/sf1,2000,060002000
32000,71140,32,,000,State,NV,P012015,Male: 45 to 49 years,Age,2000,dec/sf1,2000,320002000
06017,6289,06,,017,County,El Dorado County,P012016,Male: 50 to 54 years,Age,2000,dec/sf1,2000,060172000
06061,8818,06,,061,County,Placer County,P012016,Male: 50 to 54 years,Age,2000,dec/sf1,2000,060612000
32005,1666,32,,005,County,Douglas County,P012016,Male: 50 to 54 years,Age,2000,dec/sf1,2000,320052000
32031,12156,32,,031,County,Washoe County,P012016,Male: 50 to 54 years,Age,2000,dec/sf1,2000,320312000
32510,1861,32,,510,County,Carson City County,P012016,Male: 50 to 54 years,Age,2000,dec/sf1,2000,325102000
06000,980804,06,,000,State,CA,P012016,Male: 50 to 54 years,Age,2000,dec/sf1,2000,060002000
32000,64516,32,,000,State,NV,P012016,Male: 50 to 54 years,Age,2000,dec/sf1,2000,320002000
06017,4324,06,,017,County,El Dorado County,P012017,Male: 55 to 59 years,Age,2000,dec/sf1,2000,060172000
06061,6370,06,,061,County,Placer County,P012017,Male: 55 to 59 years,Age,2000,dec/sf1,2000,060612000
32005,1345,32,,005,County,Douglas County,P012017,Male: 55 to 59 years,Age,2000,dec/sf1,2000,320052000
32031,9009,32,,031,County,Washoe County,P012017,Male: 55 to 59 years,Age,2000,dec/sf1,2000,320312000
32510,1495,32,,510,County,Carson City County,P012017,Male: 55 to 59 years,Age,2000,dec/sf1,2000,325102000
06000,711203,06,,000,State,CA,P012017,Male: 55 to 59 years,Age,2000,dec/sf1,2000,060002000
32000,52500,32,,000,State,NV,P012017,Male: 55 to 59 years,Age,2000,dec/sf1,2000,320002000
06017,1375,06,,017,County,El Dorado County,P012018,Male: 60 and 61 years,Age,2000,dec/sf1,2000,060172000
06061,2074,06,,061,County,Placer County,P012018,Male: 60 and 61 years,Age,2000,dec/sf1,2000,060612000
32005,505,32,,005,County,Douglas County,P012018,Male: 60 and 61 years,Age,2000,dec/sf1,2000,320052000
32031,2941,32,,031,County,Washoe County,P012018,Male: 60 and 61 years,Age,2000,dec/sf1,2000,320312000
32510,516,32,,510,County,Carson City County,P012018,Male: 60 and 61 years,Age,2000,dec/sf1,2000,325102000
06000,234813,06,,000,State,CA,P012018,Male: 60 and 61 years,Age,2000,dec/sf1,2000,060002000
32000,18181,32,,000,State,NV,P012018,Male: 60 and 61 years,Age,2000,dec/sf1,2000,320002000
06017,1948,06,,017,County,El Dorado County,P012019,Male: 62 to 64 years,Age,2000,dec/sf1,2000,060172000
06061,2794,06,,061,County,Placer County,P012019,Male: 62 to 64 years,Age,2000,dec/sf1,2000,060612000
32005,680,32,,005,County,Douglas County,P012019,Male: 62 to 64 years,Age,2000,dec/sf1,2000,320052000
32031,3838,32,,031,County,Washoe County,P012019,Male: 62 to 64 years,Age,2000,dec/sf1,2000,320312000
32510,711,32,,510,County,Carson City County,P012019,Male: 62 to 64 years,Age,2000,dec/sf1,2000,325102000
06000,311292,06,,000,State,CA,P012019,Male: 62 to 64 years,Age,2000,dec/sf1,2000,060002000
32000,24902,32,,000,State,NV,P012019,Male: 62 to 64 years,Age,2000,dec/sf1,2000,320002000
06017,1215,06,,017,County,El Dorado County,P012020,Male: 65 and 66 years,Age,2000,dec/sf1,2000,060172000
06061,1776,06,,061,County,Placer County,P012020,Male: 65 and 66 years,Age,2000,dec/sf1,2000,060612000
32005,446,32,,005,County,Douglas County,P012020,Male: 65 and 66 years,Age,2000,dec/sf1,2000,320052000
32031,2305,32,,031,County,Washoe County,P012020,Male: 65 and 66 years,Age,2000,dec/sf1,2000,320312000
32510,413,32,,510,County,Carson City County,P012020,Male: 65 and 66 years,Age,2000,dec/sf1,2000,325102000
06000,189672,06,,000,State,CA,P012020,Male: 65 and 66 years,Age,2000,dec/sf1,2000,060002000
32000,15048,32,,000,State,NV,P012020,Male: 65 and 66 years,Age,2000,dec/sf1,2000,320002000
06017,1692,06,,017,County,El Dorado County,P012021,Male: 67 to 69 years,Age,2000,dec/sf1,2000,060172000
06061,2655,06,,061,County,Placer County,P012021,Male: 67 to 69 years,Age,2000,dec/sf1,2000,060612000
32005,645,32,,005,County,Douglas County,P012021,Male: 67 to 69 years,Age,2000,dec/sf1,2000,320052000
32031,3059,32,,031,County,Washoe County,P012021,Male: 67 to 69 years,Age,2000,dec/sf1,2000,320312000
32510,606,32,,510,County,Carson City County,P012021,Male: 67 to 69 years,Age,2000,dec/sf1,2000,325102000
06000,267104,06,,000,State,CA,P012021,Male: 67 to 69 years,Age,2000,dec/sf1,2000,060002000
32000,20841,32,,000,State,NV,P012021,Male: 67 to 69 years,Age,2000,dec/sf1,2000,320002000
06017,2461,06,,017,County,El Dorado County,P012022,Male: 70 to 74 years,Age,2000,dec/sf1,2000,060172000
06061,3735,06,,061,County,Placer County,P012022,Male: 70 to 74 years,Age,2000,dec/sf1,2000,060612000
