Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Female: 35 to 39 years,B01001_037,Age,American Community Survey,acs/acs5,B01001_037,2022,2020,tract
Female: 40 to 44 years,B01001_038,Age,American Community Survey,acs/acs5,B01001_038,2022,2020,tract
