Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Owner Occupied: Asian Alone Householder,B25003D_002,Tenure By Race Of Householder,American Community Survey,acs/acs5,B25003D_002,2022,2020,tract
Renter Occupied: Asian Alone Householder,B25003D_003,Tenure By Race Of Householder,American Community Survey,acs/acs5,B25003D_003,2022,2020,tract
Total: Native Hawaiian And Other Pacific Islander Alone Householder,B25003E_001,Tenure By Race Of Householder,American Community Survey,acs/acs5,B25003E_001,2022,2020,tract
