Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Total Households,H013001,Total Households,dec/sf1,dec/sf1,H013001,2010,2010,block
Total Households,H12_001N,Total Households,dec/dhc,dec/dhc,H12_001N,2020,2020,block
